πῦρ N3--ASN--- πῦρ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τείχη N3E-APN--- τεῖχος
Ραββα N---GS---- Ραββα
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
θεμέλια N2N-APN--- θεμέλιον
αὐτῆς RD--GSF--- αὐτός
μετὰ P--------- μετά
κραυγῆς N1--GSF--- κραυγή
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
πολέμου N2--GSM--- πόλεμος
καὶ C--------- καί
σεισθήσεται VC--FPI3S- σείω
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
συντελείας N1A-GSF--- συντέλεια
αὐτῆς RD--GSF--- αὐτός

Amo 1:15
καὶ C--------- καί
πορεύσονται VF--FMI3P- πορεύομαι
οἱ RA--NPM--- ὁ
βασιλεῖς N3V-NPM--- βασιλεύς
αὐτῆς RD--GSF--- αὐτός
ἐν P--------- ἐν
αἰχμαλωσίᾳ N1A-DSF--- αἰχμαλωσία
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
αὐτῶν RD--GPM--- αὐτός
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αὐτό RD--ASN--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Amo 2:1
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
Μωαβ N---GSF--- Μωαβ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτόν RD--ASM--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
κατέκαυσαν VAI-AAI3P- καίω κατα
τὰ RA--APN--- ὁ
ὀστᾶ N2N-APN--- ὀστέον
βασιλέως N3V-GSM--- βασιλεύς
τῆς RA--GSF--- ὁ
Ιδουμαίας N1A-GSF--- Ιδουμαία
εἰς P--------- εἰς
κονίαν N1A-ASF--- κονία

Amo 2:2
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
πῦρ N3--ASN--- πῦρ
ἐπὶ P--------- ἐπί
Μωαβ N---ASF--- Μωαβ
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
θεμέλια N2N-APN--- θεμέλιον
τῶν RA--GPF--- ὁ
πόλεων N3I-GPF--- πόλις
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἀποθανεῖται VF2-FMI3S- θνήσκω ἀπο
ἐν P--------- ἐν
ἀδυναμίᾳ N1A-DSF--- ἀδυναμία
Μωαβ N---NSF--- Μωαβ
μετὰ P--------- μετά
κραυγῆς N1--GSF--- κραυγή
καὶ C--------- καί
μετὰ P--------- μετά
φωνῆς N1--GSF--- φωνή
σάλπιγγος N3G-GSF--- σάλπιγξ

Amo 2:3
καὶ C--------- καί
ἐξολεθρεύσω VF--FAI1S- ὀλεθρεύω ἐκ
κριτὴν N1M-ASM--- κριτής
ἐξ P--------- ἐκ
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
αὐτῆς RD--GSF--- αὐτός
ἀποκτενῶ VF2-FAI1S- κτείνω ἀπο
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Amo 2:4
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
υἱῶν N2--GPM--- υἱός
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτόν RD--ASM--- αὐτός
ἕνεκα P--------- ἕνεκα
τοῦ RA--GSN--- ὁ
ἀπώσασθαι VA--AMN--- ὠθέω ἀπο
αὐτοὺς RD--APM--- αὐτός
τὸν RA--ASM--- ὁ
νόμον N2--ASM--- νόμος
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
τὰ RA--APN--- ὁ
προστάγματα N3M-APN--- πρόσταγμα
αὐτοῦ RD--GSM--- αὐτός
οὐκ D--------- οὐ
ἐφυλάξαντο VAI-AMI3P- φυλάσσω
καὶ C--------- καί
ἐπλάνησεν VAI-AAI3S- πλανάω
αὐτοὺς RD--APM--- αὐτός
τὰ RA--APN--- ὁ
μάταια A1A-APN--- μάταιος
αὐτῶν RD--GPM--- αὐτός
ἃ RR--APN--- ὅς
ἐποίησαν VAI-AAI3P- ποιέω
οἷς RR--DPM--- ὅς
ἐξηκολούθησαν VAI-AAI3P- ἀκολουθέω ἐκ
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
ὀπίσω P--------- ὀπίσω
αὐτῶν RD--GPM--- αὐτός

Amo 2:5
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
πῦρ N3--ASN--- πῦρ
ἐπὶ P--------- ἐπί
Ιουδαν N1T-ASM--- Ἰούδας
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
θεμέλια N2N-APN--- θεμέλιον
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Amo 2:6
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτόν RD--ASM--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἀπέδοντο VOI-AMI3P- δίδωμι ἀπο
ἀργυρίου N2N-GSN--- ἀργύριον
δίκαιον A1A-ASM--- δίκαιος
καὶ C--------- καί
πένητα N3T-ASM--- πένης
ἕνεκεν P--------- ἕνεκεν
ὑποδημάτων N3M-GPN--- ὑπόδημα

Amo 2:7
τὰ RA--APN--- ὁ
πατοῦντα V2--PAPAPN πατέω
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
χοῦν N3--ASM--- χοῦς
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἐκονδύλιζον V1I-IAI3P- κονδυλίζω
εἰς P--------- εἰς
κεφαλὰς N1--APF--- κεφαλή
πτωχῶν N2--GPM--- πτωχός
καὶ C--------- καί
ὁδὸν N2--ASF--- ὁδός
ταπεινῶν A1--GPM--- ταπεινός
ἐξέκλιναν VAI-AAI3P- κλίνω ἐκ
καὶ C--------- καί
υἱὸς N2--NSM--- υἱός
καὶ C--------- καί
πατὴρ N3--NSM--- πατήρ
αὐτοῦ RD--GSM--- αὐτός
εἰσεπορεύοντο V1I-IMI3P- πορεύομαι εἰς
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
αὐτὴν RD--ASF--- αὐτός
παιδίσκην N1--ASF--- παιδίσκη
ὅπως C--------- ὅπως
βεβηλώσωσιν VA--AAS3P- βεβηλόω
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός

Amo 2:8
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἱμάτια N2N-APN--- ἱμάτιον
αὐτῶν RD--GPM--- αὐτός
δεσμεύοντες V1--PAPNPM δεσμεύω
σχοινίοις N2N-DPN--- σχοινίον
παραπετάσματα N3M-APN--- παραπέτασμα
ἐποίουν V2I-IAI3P- ποιέω
ἐχόμενα V1--PMPAPN ἔχω
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
καὶ C--------- καί
οἶνον N2--ASM--- οἶνος
ἐκ P--------- ἐκ
