Cant 1:1
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ξύλοις N2N-DPN--- ξύλον
τοῦ RA--GSM--- ὁ
δρυμοῦ N2--GSM--- δρυμός
οὕτως D--------- οὕτως
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
σκιᾷ N1A-DSF--- σκιά
αὐτοῦ RD--GSM--- αὐτός
ἐπεθύμησα VAI-AAI1S- θυμέω ἐπι
καὶ C--------- καί
ἐκάθισα VAI-AAI1S- ἵζω κατα
καὶ C--------- καί
καρπὸς N2--NSM--- καρπός
αὐτοῦ RD--GSM--- αὐτός
γλυκὺς A3U-NSM--- γλυκύς
ἐν P--------- ἐν
λάρυγγί N3G-DSM--- λάρυγξ
μου RP--GS---- ἐγώ

Cant 2:4
εἰσαγάγετέ VB--AAD2P- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
οἴνου N2--GSM--- οἶνος
τάξατε VA--AAD2P- τάσσω
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
ἀγάπην N1--ASF--- ἀγάπη

Cant 2:5
στηρίσατέ VA--AAD2P- στηρίζω
με RP--AS---- ἐγώ
ἐν P--------- ἐν
ἀμόραις A1B-DPF--- ἄμορος
στοιβάσατέ VA--AAD2P- στοιβάζω
με RP--AS---- ἐγώ
ἐν P--------- ἐν
μήλοις N2N-DPN--- μῆλον
ὅτι C--------- ὅτι
τετρωμένη VM--XPPNSF τιτρώσκω
ἀγάπης N1--GSF--- ἀγάπη
ἐγώ RP--NS---- ἐγώ

Cant 2:6
εὐώνυμος A1B-NSM--- εὐώνυμος
αὐτοῦ RD--GSM--- αὐτός
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
κεφαλήν N1--ASF--- κεφαλή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἡ RA--NSF--- ὁ
δεξιὰ A1A-NSF--- δεξιός
αὐτοῦ RD--GSM--- αὐτός
περιλήμψεταί VF--FMI3S- λαμβάνω περι
με RP--AS---- ἐγώ

Cant 2:7
ὥρκισα VAI-AAI1S- ὁρκίζω
ὑμᾶς RP--AP---- σύ
θυγατέρες N3--VPF--- θυγάτηρ
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
δυνάμεσιν N3I-DPF--- δύναμις
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἰσχύσεσιν N3U-DPF--- ἰσχύς
τοῦ RA--GSM--- ὁ
ἀγροῦ N2--GSM--- ἀγρός
ἐὰν C--------- ἐάν
ἐγείρητε VA--AAS2P- ἐγείρω
καὶ C--------- καί
ἐξεγείρητε VA--AAS2P- ἐγείρω ἐκ
τὴν RA--ASF--- ὁ
ἀγάπην N1--ASF--- ἀγάπη
ἕως P--------- ἕως
οὗ RR--GSM--- ὅς
θελήσῃ VA--AAS3S- θέλω

Cant 2:8
φωνὴ N1--NSF--- φωνή
ἀδελφιδοῦ N2--GSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
ἰδοὺ I--------- ἰδού
οὗτος RD--NSM--- οὗτος
ἥκει V1--PAI3S- ἥκω
πηδῶν V3--PAPNSM πηδάω
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
διαλλόμενος V1--PMPNSM ἄλλομαι δια
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
βουνούς N2--APM--- βουνός

Cant 2:9
ὅμοιός A1A-NSM--- ὅμοιος
ἐστιν V9--PAI3S- εἰμί
ἀδελφιδός N2--NSM--- ἀδελφιδός
μου RP--GS---- ἐγώ
τῇ RA--DSF--- ὁ
δορκάδι N3D-DSF--- δορκάς
ἢ C--------- ἤ
νεβρῷ N2--DSM--- νεβρός
ἐλάφων N2--GPM--- ἔλαφος
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
Βαιθηλ N---GS---- Βαιθηλ
ἰδοὺ I--------- ἰδού
οὗτος RD--NSM--- οὗτος
ἕστηκεν VXI-XAI3S- ἵστημι
ὀπίσω P--------- ὀπίσω
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
