2Ma 1:1
2Ma 1:20
διελθόντων VB--AAPGPM ἔρχομαι δια
δὲ X--------- δέ
ἐτῶν N3E-GPN--- ἔτος
ἱκανῶν A1--GPN--- ἱκανός
ὅτε D--------- ὅτε
ἔδοξεν VAI-AAI3S- δοκέω
τῷ RA--DSM--- ὁ
θεῷ N2--DSM--- θεός
ἀποσταλεὶς VD--APPNSM στέλλω ἀπο
Νεεμιας N1T-NSM--- Νεεμιας
ὑπὸ P--------- ὑπό
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
τῆς RA--GSF--- ὁ
Περσίδος N3D-GSF--- Περσίς
τοὺς RA--APM--- ὁ
ἐκγόνους A1B-APM--- ἔκγονος
τῶν RA--GPM--- ὁ
ἱερέων N3V-GPM--- ἱερεύς
τῶν RA--GPM--- ὁ
ἀποκρυψάντων VA--AAPGPM κρύπτω ἀπο
ἔπεμψεν VAI-AAI3S- πέμπω
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
πῦρ N3--ASN--- πῦρ
ὡς C--------- ὡς
δὲ X--------- δέ
διεσάφησαν VAI-AAI3P- σαφέω δια
ἡμῖν RP--DP---- ἐγώ
μὴ D--------- μή
εὑρηκέναι VX--XAN--- εὑρίσκω
πῦρ N3--ASN--- πῦρ
ἀλλὰ C--------- ἀλλά
ὕδωρ N3--ASN--- ὕδωρ
παχύ N3U-ASN--- παχύς
ἐκέλευσεν VAI-AAI3S- κελεύω
αὐτοὺς RD--APM--- αὐτός
ἀποβάψαντας VA--AAPAPM βάπτω ἀπο
φέρειν V1--PAN--- φέρω

2Ma 1:21
ὡς C--------- ὡς
δὲ X--------- δέ
ἀνηνέχθη VQI-API3S- φέρω ἀνα
τὰ RA--APN--- ὁ
τῶν RA--GPF--- ὁ
θυσιῶν N1A-GPF--- θυσία
ἐκέλευσεν VAI-AAI3S- κελεύω
τοὺς RA--APM--- ὁ
ἱερεῖς N3V-APM--- ἱερεύς
Νεεμιας N1T-NSM--- Νεεμιας
ἐπιρρᾶναι VA--AAN--- ῥαίνω ἐπι
τῷ RA--DSN--- ὁ
ὕδατι N3T-DSN--- ὕδωρ
τά RA--APN--- ὁ
τε X--------- τε
ξύλα N2N-APN--- ξύλον
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐπικείμενα V5--PMPAPN κεῖμαι ἐπι

2Ma 1:22
ὡς C--------- ὡς
δὲ X--------- δέ
ἐγένετο VBI-AMI3S- γίγνομαι
τοῦτο RD--ASN--- οὗτος
καὶ C--------- καί
χρόνος N2--NSM--- χρόνος
διῆλθεν VBI-AAI3S- ἔρχομαι δια
ὅ RR--NSM--- ὅς
τε X--------- τε
ἥλιος N2--NSM--- ἥλιος
ἀνέλαμψεν VAI-AAI3S- λάμπω ἀνα
πρότερον D--------- πρότερον
ἐπινεφὴς N1M-NSM--- ἐπινεφής
ὤν V9--PAPNSM εἰμί
ἀνήφθη VAI-API3S- ἅπτω ἀνα
πυρὰ N1A-NSF--- πυρά
μεγάλη A1--NSF--- μέγας
ὥστε C--------- ὥστε
θαυμάσαι VA--AAN--- θαυμάζω
πάντας A3--APM--- πᾶς

2Ma 1:23
προσευχὴν N1--ASF--- προσευχή
δὲ X--------- δέ
ἐποιήσαντο VAI-AMI3P- ποιέω
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
δαπανωμένης V3--PMPGSF δαπανάω
τῆς RA--GSF--- ὁ
θυσίας N1A-GSF--- θυσία
οἵ RR--NPM--- ὅς
τε X--------- τε
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
καταρχομένου V1--PMPGSM ἄρχω κατα
Ιωναθου N1T-GSM--- Ιωναθας
τῶν RA--GPM--- ὁ
