Mal 1:1
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
μου RP--GS---- ἐγώ
καὶ C--------- καί
θυσία N1A-NSF--- θυσία
καθαρά A1A-NSF--- καθαρός
διότι C--------- διότι
μέγα A1--NSN--- μέγας
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Mal 1:12
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
βεβηλοῦτε V4--PAI2P- βεβηλόω
αὐτὸ RD--ASN--- αὐτός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
λέγειν V1--PAN--- λέγω
ὑμᾶς RP--AP---- σύ
τράπεζα N1A-NSF--- τράπεζα
κυρίου N2--GSM--- κύριος
ἠλισγημένη VCI-APPNSF ἀλισγέω
ἐστίν V9--PAI3S- εἰμί
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἐπιτιθέμενα V7--PMPNPN τίθημι ἐπι
ἐξουδένωνται V4--PPI3P- ἐξουδενόω
βρώματα N3M-NPN--- βρῶμα
αὐτοῦ RD--GSM--- αὐτός

Mal 1:13
καὶ C--------- καί
εἴπατε VAI-AAI2P- εἶπον
ταῦτα RD--NPN--- οὗτος
ἐκ P--------- ἐκ
κακοπαθείας N1A-GSF--- κακοπάθεια
ἐστίν V9--PAI3S- εἰμί
καὶ C--------- καί
ἐξεφύσησα VAI-AAI1S- φυσάω ἐκ
αὐτὰ RD--APN--- αὐτός
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
εἰσεφέρετε V1I-IAI2P- φέρω εἰς
ἁρπάγματα N3M-APN--- ἅρπαγμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
χωλὰ A1--APN--- χωλός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐνοχλούμενα V2--PPPAPN ὀχλέω ἐν
καὶ C--------- καί
ἐὰν C--------- ἐάν
φέρητε V1--PAS2P- φέρω
τὴν RA--ASF--- ὁ
θυσίαν N1A-ASF--- θυσία
εἰ C--------- εἰ
προσδέξομαι VF--FMI1S- δέχομαι προς
αὐτὰ RD--APN--- αὐτός
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
ὑμῶν RP--GP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Mal 1:14
καὶ C--------- καί
ἐπικατάρατος A1B-NSM--- ἐπικατάρατος
ὃς RR--NSM--- ὅς
ἦν V9--IAI3S- εἰμί
δυνατὸς A1--NSM--- δυνατός
καὶ C--------- καί
ὑπῆρχεν V1I-IAI3S- ἄρχω ὑπο
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ποιμνίῳ N2N-DSN--- ποίμνιον
αὐτοῦ RD--GSM--- αὐτός
ἄρσεν A3--ASN--- ἄρσην
καὶ C--------- καί
εὐχὴ N1--NSF--- εὐχή
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
θύει V1--PAI3S- θύω
διεφθαρμένον VM--XMPASM φθείρω δια
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
διότι C--------- διότι
βασιλεὺς N3V-NSM--- βασιλεύς
μέγας A1P-NSM--- μέγας
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
μου RP--GS---- ἐγώ
ἐπιφανὲς A3H-ASN--- ἐπιφανής
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος

Mal 2:1
καὶ C--------- καί
νῦν D--------- νῦν
ἡ RA--NSF--- ὁ
ἐντολὴ N1--NSF--- ἐντολή
αὕτη RD--NSF--- οὗτος
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
οἱ RA--VPM--- ὁ
ἱερεῖς N3V-VPM--- ἱερεύς

Mal 2:2
ἐὰν C--------- ἐάν
μὴ D--------- μή
ἀκούσητε VA--AAS2P- ἀκούω
καὶ C--------- καί
ἐὰν C--------- ἐάν
μὴ D--------- μή
θῆσθε VE--AMS2P- τίθημι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
καρδίαν N1A-ASF--- καρδία
