Bar 1:1
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος

Bar 1:14
καὶ C--------- καί
ἀναγνώσεσθε VF--FMD2P- γιγνώσκω ἀνα
τὸ RA--ASN--- ὁ
βιβλίον N2N-ASN--- βιβλίον
τοῦτο RD--ASN--- οὗτος
ὃ RR--ASN--- ὅς
ἀπεστείλαμεν VAI-AAI1P- στέλλω ἀπο
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
ἐξαγορεῦσαι VA--AAN--- ἀγορεύω ἐκ
ἐν P--------- ἐν
οἴκῳ N2--DSM--- οἶκος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἑορτῆς N1--GSF--- ἑορτή
καὶ C--------- καί
ἐν P--------- ἐν
ἡμέραις N1A-DPF--- ἡμέρα
καιροῦ N2--GSM--- καιρός

Bar 1:15
καὶ C--------- καί
ἐρεῖτε VF2-FAI2P- εἶπον
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
ἡ RA--NSF--- ὁ
δικαιοσύνη N1--NSF--- δικαιοσύνη
ἡμῖν RP--DP---- ἐγώ
δὲ X--------- δέ
αἰσχύνη N1--NSF--- αἰσχύνη
τῶν RA--GPN--- ὁ
προσώπων N2N-GPN--- πρόσωπον
ὡς D--------- ὡς
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
κατοικοῦσιν V2--PAPDPM οἰκέω κατα
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ

Bar 1:16
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
βασιλεῦσιν N3V-DPM--- βασιλεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἄρχουσιν V1--PAI3P- ἄρχω
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
ἱερεῦσιν N3V-DPM--- ἱερεύς
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
προφήταις N1M-DPM--- προφήτης
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ἡμῶν RP--GP---- ἐγώ

Bar 1:17
ὧν RR--GPM--- ὅς
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος

Bar 1:18
καὶ C--------- καί
ἠπειθήσαμεν VAI-AAI1P- ἀπειθέω
αὐτῷ RD--DSM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσαμεν VAI-AAI1P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
πορεύεσθαι V1--PMN--- πορεύομαι
τοῖς RA--DPN--- ὁ
προστάγμασιν N3M-DPN--- πρόσταγμα
κυρίου N2--GSM--- κύριος
οἷς RR--DPN--- ὅς
ἔδωκεν VAI-AAI3S- δίδωμι
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
ἡμῶν RP--GP---- ἐγώ

Bar 1:19
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ἧς RR--GSF--- ὅς
ἐξήγαγεν VBI-AAI3S- ἄγω ἐκ
κύριος N2--NSM--- κύριος
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
καὶ C--------- καί
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
ταύτης RD--GSF--- οὗτος
ἤμεθα V9--IMI1P- εἰμί
ἀπειθοῦντες V2--PAPNPM ἀπειθέω
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
θεὸν N2--ASM--- θεός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ἐσχεδιάζομεν V1I-IAI1P- σκεδιάζω
πρὸς P--------- πρός
τὸ RA--ASN--- ὁ
μὴ D--------- μή
ἀκούειν V1--PAN--- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτοῦ RD--GSM--- αὐτός

Bar 1:20
καὶ C--------- καί
ἐκολλήθη VCI-API3S- κολλάω
εἰς P--------- εἰς
ἡμᾶς RP--AP---- ἐγώ
τὰ RA--NPN--- ὁ
κακὰ A1--NPN--- κακός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἀρά N1A-NSF--- ἀρά
ἣν RR--ASF--- ὅς
συνέταξεν VAI-AAI3S- τάσσω συν
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
παιδὶ N3D-DSM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
ἡμέρᾳ N1A-DSF--- ἡμέρα
ᾗ RR--DSF--- ὅς
ἐξήγαγεν VBI-AAI3S- ἄγω ἐκ
τοὺς RA--APM--- ὁ
πατέρας N3--APM--- πατήρ
ἡμῶν RP--GP---- ἐγώ
ἐκ P--------- ἐκ
γῆς N1--GSF--- γῆ
Αἰγύπτου N2--GSF--- Αἴγυπτος
δοῦναι VO--AAN--- δίδωμι
ἡμῖν RP--DP---- ἐγώ
γῆν N1--ASF--- γῆ
ῥέουσαν V2--PAPASF ῥέω
γάλα N3--ASN--- γάλα
καὶ C--------- καί
μέλι N3--ASN--- μέλι
ὡς D--------- ὡς
ἡ RA--NSF--- ὁ
ἡμέρα N1A-NSF--- ἡμέρα
αὕτη RD--NSF--- οὗτος

Bar 1:21
καὶ C--------- καί
οὐκ D--------- οὐ
ἠκούσαμεν VAI-AAI1P- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ
κατὰ P--------- κατά
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
ὧν RR--GPM--- ὅς
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
πρὸς P--------- πρός
ἡμᾶς RP--AP---- ἐγώ

Bar 1:22
καὶ C--------- καί
ᾠχόμεθα V1I-IMI1P- οἴχομαι
ἕκαστος A1--NSM--- ἕκαστος
ἐν P--------- ἐν
διανοίᾳ N1A-DSF--- διάνοια
καρδίας N1A-GSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
πονηρᾶς A1A-GSF--- πονηρός
ἐργάζεσθαι V1--PMN--- ἐργάζομαι
θεοῖς N2--DPM--- θεός
ἑτέροις A1A-DPM--- ἕτερος
ποιῆσαι VA--AAN--- ποιέω
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
κατ' P--------- κατά
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Bar 2:1
καὶ C--------- καί
ἔστησεν VAI-AAI3S- ἵστημι
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
