ἦσαν V9--IAI3P- εἰμί
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
τάξεως N3I-GSF--- τάξις
αὐτῶν RD--GPM--- αὐτός
κατὰ P--------- κατά
τὰ RA--APN--- ὁ
ὑπὸ P--------- ὑπό
Δαυιδ N---GSM--- Δαυίδ
τεταγμένα VK--XMPAPN τάσσω
καὶ C--------- καί
Ασαφ N---NSM--- Ασαφ
καὶ C--------- καί
Ζαχαριας N1T-NSM--- Ζαχαριας
καὶ C--------- καί
Εδδινους N---NSM--- Εδδινους
οἱ RA--NPM--- ὁ
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
θυρωροὶ N2--NPM--- θυρωρός
ἐφ' P--------- ἐπί
ἑκάστου A1--GSM--- ἕκαστος
πυλῶνος N3W-GSM--- πυλών
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
παραβῆναι VB--AAN--- βαίνω παρα
ἕκαστον A1--ASM--- ἕκαστος
τὴν RA--ASF--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
ἐφημερίαν N1A-ASF--- ἐφημερία
οἱ RA--NPM--- ὁ
γὰρ X--------- γάρ
ἀδελφοὶ N2--NPM--- ἀδελφός
αὐτῶν RD--GPM--- αὐτός
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης
ἡτοίμασαν VAI-AAI3P- ἑτοιμάζω
αὐτοῖς RD--DPM--- αὐτός

Ezr 1:16
καὶ C--------- καί
συνετελέσθη VSI-API3S- τελέω συν
τὰ RA--NPN--- ὁ
τῆς RA--GSF--- ὁ
θυσίας N1A-GSF--- θυσία
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
ἐκείνῃ RD--DSF--- ἐκεῖνος
τῇ RA--DSF--- ὁ
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἀχθῆναι VQ--APN--- ἄγω
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
καὶ C--------- καί
προσενεχθῆναι VQ--APN--- φέρω προς
τὰς RA--APF--- ὁ
θυσίας N1A-APF--- θυσία
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
θυσιαστήριον N2N-ASN--- θυσιαστήριον
κατὰ P--------- κατά
τὴν RA--ASF--- ὁ
ἐπιταγὴν N1--ASF--- ἐπιταγή
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Ιωσιου N1T-GSM--- Ιωσίας

Ezr 1:17
καὶ C--------- καί
ἠγάγοσαν VBI-AAI3P- ἄγω
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
οἱ RA--NPM--- ὁ
εὑρεθέντες VC--APPNPM εὑρίσκω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
καιρῷ N2--DSM--- καιρός
τούτῳ RD--DSM--- οὗτος
τὸ RA--ASN--- ὁ
πασχα N---ASN--- πασχα
καὶ C--------- καί
τὴν RA--ASF--- ὁ
ἑορτὴν N1--ASF--- ἑορτή
τῶν RA--GPM--- ὁ
ἀζύμων A1B-GPM--- ἄζυμος
ἡμέρας N1A-APF--- ἡμέρα
ἑπτά M--------- ἑπτά

Ezr 1:18
καὶ C--------- καί
οὐκ D--------- οὐ
ἤχθη VCI-API3S- ἄγω
τὸ RA--NSN--- ὁ
πασχα N---NSN--- πασχα
τοιοῦτο A1--NSN--- τοιοῦτος
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
χρόνων N2--GPM--- χρόνος
Σαμουηλ N---GSM--- Σαμουηλ
τοῦ RA--GSM--- ὁ
προφήτου N1M-GSM--- προφήτης

Ezr 1:19
καὶ C--------- καί
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
