010110 N- ----NSM- Μανασσῆς Μανασσῆς Μανασσῆς Μανασσῆς
010110 C- -------- δὲ δὲ δέ δέ
010110 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010110 RA ----ASM- τὸν τὸν τόν ὁ
010110 N- ----ASM- ⸂Ἀμώς, Ἀμώς Ἀμώς Ἀμώς
010110 N- ----NSM- Ἀμὼς⸃ Ἀμὼς Ἀμώς Ἀμώς
010110 C- -------- δὲ δὲ δέ δέ
010110 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010110 RA ----ASM- τὸν τὸν τόν ὁ
010110 N- ----ASM- Ἰωσίαν, Ἰωσίαν Ἰωσίαν Ἰωσίας
010111 N- ----NSM- Ἰωσίας Ἰωσίας Ἰωσίας Ἰωσίας
010111 C- -------- δὲ δὲ δέ δέ
010111 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010111 RA ----ASM- τὸν τὸν τόν ὁ
010111 N- ----ASM- Ἰεχονίαν Ἰεχονίαν Ἰεχονίαν Ἰεχονίας
010111 C- -------- καὶ καὶ καί καί
010111 RA ----APM- τοὺς τοὺς τούς ὁ
010111 N- ----APM- ἀδελφοὺς ἀδελφοὺς ἀδελφούς ἀδελφός
010111 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010111 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί
010111 RA ----GSF- τῆς τῆς τῆς ὁ
010111 N- ----GSF- μετοικεσίας μετοικεσίας μετοικεσίας μετοικεσία
010111 N- ----GSF- Βαβυλῶνος. Βαβυλῶνος Βαβυλῶνος Βαβυλών
010112 P- -------- Μετὰ Μετὰ μετά μετά
010112 C- -------- δὲ δὲ δέ δέ
010112 RA ----ASF- τὴν τὴν τήν ὁ
010112 N- ----ASF- μετοικεσίαν μετοικεσίαν μετοικεσίαν μετοικεσία
010112 N- ----GSF- Βαβυλῶνος Βαβυλῶνος Βαβυλῶνος Βαβυλών
010112 N- ----NSM- Ἰεχονίας Ἰεχονίας Ἰεχονίας Ἰεχονίας
010112 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010112 RA ----ASM- τὸν τὸν τόν ὁ
010112 N- ----ASM- Σαλαθιήλ, Σαλαθιήλ Σαλαθιήλ Σαλαθιήλ
010112 N- ----NSM- Σαλαθιὴλ Σαλαθιὴλ Σαλαθιήλ Σαλαθιήλ
010112 C- -------- δὲ δὲ δέ δέ
010112 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010112 RA ----ASM- τὸν τὸν τόν ὁ
010112 N- ----ASM- Ζοροβαβέλ, Ζοροβαβέλ Ζοροβαβέλ Ζοροβαβέλ
010113 N- ----NSM- Ζοροβαβὲλ Ζοροβαβὲλ Ζοροβαβέλ Ζοροβαβέλ
010113 C- -------- δὲ δὲ δέ δέ
010113 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010113 RA ----ASM- τὸν τὸν τόν ὁ
010113 N- ----ASM- Ἀβιούδ, Ἀβιούδ Ἀβιούδ Ἀβιούδ
010113 N- ----NSM- Ἀβιοὺδ Ἀβιοὺδ Ἀβιούδ Ἀβιούδ
010113 C- -------- δὲ δὲ δέ δέ
010113 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010113 RA ----ASM- τὸν τὸν τόν ὁ
010113 N- ----ASM- Ἐλιακίμ, Ἐλιακίμ Ἐλιακίμ Ἐλιακίμ
010113 N- ----NSM- Ἐλιακὶμ Ἐλιακὶμ Ἐλιακίμ Ἐλιακίμ
010113 C- -------- δὲ δὲ δέ δέ
010113 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010113 RA ----ASM- τὸν τὸν τόν ὁ
010113 N- ----ASM- Ἀζώρ, Ἀζώρ Ἀζώρ Ἀζώρ
010114 N- ----NSM- Ἀζὼρ Ἀζὼρ Ἀζώρ Ἀζώρ
010114 C- -------- δὲ δὲ δέ δέ
010114 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010114 RA ----ASM- τὸν τὸν τόν ὁ
010114 N- ----ASM- Σαδώκ, Σαδώκ Σαδώκ Σαδώκ
010114 N- ----NSM- Σαδὼκ Σαδὼκ Σαδώκ Σαδώκ
010114 C- -------- δὲ δὲ δέ δέ
010114 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010114 RA ----ASM- τὸν τὸν τόν ὁ
010114 N- ----ASM- Ἀχίμ, Ἀχίμ Ἀχίμ Ἀχίμ
010114 N- ----NSM- Ἀχὶμ Ἀχὶμ Ἀχίμ Ἀχίμ
010114 C- -------- δὲ δὲ δέ δέ
010114 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010114 RA ----ASM- τὸν τὸν τόν ὁ
010114 N- ----ASM- Ἐλιούδ, Ἐλιούδ Ἐλιούδ Ἐλιούδ
010115 N- ----NSM- Ἐλιοὺδ Ἐλιοὺδ Ἐλιούδ Ἐλιούδ
010115 C- -------- δὲ δὲ δέ δέ
010115 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010115 RA ----ASM- τὸν τὸν τόν ὁ
010115 N- ----ASM- Ἐλεάζαρ, Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ
010115 N- ----NSM- Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ Ἐλεάζαρ
010115 C- -------- δὲ δὲ δέ δέ
010115 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010115 RA ----ASM- τὸν τὸν τόν ὁ
010115 N- ----ASM- Ματθάν, Ματθάν Ματθάν Ματθάν
010115 N- ----NSM- Ματθὰν Ματθὰν Ματθάν Ματθάν
